Id,Date,Schl,Location,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
177,3/20/13,La Salle,N,Boise State,W 80-71,200,31,49,0.633,20,28,0.714,11,21,0.524,7,12,0.583,80
178,3/20/14,NC State,N,Saint Louis,L 80-83 (OT),225,28,60,0.467,24,51,0.471,4,9,0.444,20,37,0.541,80
179,3/20/14,North Dakota St.,N,Oklahoma,W 80-75 (OT),225,27,51,0.529,21,37,0.568,6,14,0.429,20,22,0.909,80
180,3/21/14,Kansas,N,Eastern Ky.,W 80-69,200,32,53,0.604,32,46,0.696,0,7,0,16,24,0.667,80
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
181,3/22/14,Michigan State,N,Harvard,W 80-73,200,28,57,0.491,21,36,0.583,7,21,0.333,17,22,0.773,80
182,3/17/16,Utah,N,Fresno State,W 80-69,200,27,50,0.54,20,32,0.625,7,18,0.389,19,22,0.864,80
183,3/26/16,Oklahoma,N,Oregon,W 80-68,200,27,58,0.466,15,34,0.441,12,24,0.5,14,17,0.824,80
184,3/16/17,Florida,N,ETSU,W 80-65,200,26,54,0.481,19,32,0.594,7,22,0.318,21,27,0.778,80
185,3/16/17,Fla. Gulf Coast,N,Florida State,L 80-86,200,29,70,0.414,21,42,0.5,8,28,0.286,14,20,0.7,80
186,3/16/17,Purdue,N,Vermont,W 80-70,200,31,60,0.517,22,40,0.55,9,20,0.45,9,14,0.643,80
187,3/16/17,Bucknell,N,West Virginia,L 80-86,200,27,59,0.458,18,39,0.462,9,20,0.45,17,23,0.739,80
188,3/17/17,Kent State,N,UCLA,L 80-97,200,31,71,0.437,22,49,0.449,9,22,0.409,9,12,0.75,80
189,3/18/17,Purdue,N,Iowa State,W 80-76,200,31,64,0.484,23,38,0.605,8,26,0.308,10,15,0.667,80
